Cell,AreaShape_Area,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Perimeter
190,0.490336435,0.65851639,0.928359503,0.678637771,0.614896393,0.644190165,0.676168614,0.614295117,0.635824475,0.637377439,0.497271854,0.485999313,0.640683121
191,0.547602004,0.542728436,0.853999643,0.774291497,0.795332463,0.588655767,0.550580034,0.700404196,0.744129684,0.728868987,0.537778341,0.564963345,0.595326661
192,0.484609878,0.589078607,0.903070192,0.925495557,0.69517708,0.595243352,0.581760327,0.641342931,0.68267828,0.707106781,0.462503434,0.495220793,0.599025874
193,0.493199714,0.466454985,0.520690564,0.937840291,0.917414042,0.45065765,0.433321445,0.80094284,0.786977961,0.75,0.63621546,0.658927626,0.526048624
194,0.50035791,0.473122114,0.564925757,0.900966702,0.862057366,0.46307508,0.45421626,0.798583652,0.778231786,0.75,0.624379636,0.656579173,0.546599807
195,0.506800286,0.628091144,0.906346812,0.674446297,0.657179612,0.629858586,0.636082204,0.678511134,0.654999824,0.637377439,0.53125388,0.518025449,0.630047884
196,0.446671439,0.495686183,0.557607047,0.876763656,0.797773144,0.446886476,0.467373454,0.700404196,0.695665597,0.707106781,0.627523404,0.637054666,0.536848271
197,0.549033644,0.571123646,0.865796648,0.752791068,0.701267715,0.608955138,0.636082204,0.742255613,0.728737388,0.728868987,0.589487797,0.56709612,0.634826034
198,0.283464567,0.615690246,0.884443211,0.711537021,0.572653646,0.460084975,0.487358012,0.491436093,0.497502897,0.5,0.400600177,0.406487482,0.50477815
199,0.250536865,0.550043864,0.786857546,0.762250454,0.691143522,0.386680258,0.376038742,0.491436093,0.50970454,0.5,0.422472721,0.425995182,0.43196531
